Country,TV_Show_and_Movie_count
United States,3240
France,213
Brazil,88
United Kingdom,638
India,1057
Germany,104
Pakistan,421
China,100
South Africa,42
Japan,259
Nigeria,105
Spain,182
Philippines,83
Australia,114
Argentina,76
Canada,271
Hong Kong,79
Italy,66
New Zealand,17
Egypt,123
Colombia,42
Mexico,138
Belgium,18
Switzerland,8
Taiwan,86
Bulgaria,5
Poland,30
South Korea,214
Saudi Arabia,12
Thailand,66
Indonesia,86
Kuwait,7
Malaysia,23
Vietnam,7
Lebanon,24
Romania,10
Syria,2
United Arab Emirates,21
Sweden,19
Mauritius,2
Austria,9
Turkey,112
Czech Republic,6
Cameroon,1
Netherlands,28
Ireland,28
Russia,19
Kenya,4
Chile,22
Uruguay,9
Bangladesh,3
Portugal,4
Hungary,5
Norway,21
Singapore,28
Iceland,6
Serbia,3
Namibia,1
Peru,6
Mozambique,1
Ghana,4
Zimbabwe,1
Israel,22
Finland,6
Denmark,30
Paraguay,1
Cambodia,2
Georgia,2
Soviet Union,1
Greece,1
West Germany,1
Iran,1
Venezuela,2
Slovenia,1
Guatemala,1
Jamaica,1
Somalia,1
Croatia,2
Jordan,2
Luxembourg,1
Senegal,1
Belarus,1
Puerto Rico,1
Cyprus,1
Ukraine,2
