Date,Region,Number of Subscribers
2019/03/31,United States and Canada,66633000
2019/03/31,"Europe, Middle East and Africa",42542000
2019/03/31,Latin America,27547000
2019/03/31,Asia-Pacific,12141000
2019/06/30,United States and Canada,66501000
2019/06/30,"Europe, Middle East and Africa",44229000
2019/06/30,Latin America,27890000
2019/06/30,Asia-Pacific,12942000
2019/09/30,United States and Canada,67114000
2019/09/30,"Europe, Middle East and Africa",47355000
2019/09/30,Latin America,29380000
2019/09/30,Asia-Pacific,14485000
2019/12/31,United States and Canada,67662000
2019/12/31,"Europe, Middle East and Africa",51778000
2019/12/31,Latin America,31417000
2019/12/31,Asia-Pacific,16233000
2020/03/31,United States and Canada,69969000
2020/03/31,"Europe, Middle East and Africa",58734000
2020/03/31,Latin America,34318000
2020/03/31,Asia-Pacific,19835000
2020/06/30,United States and Canada,72904000
2020/06/30,"Europe, Middle East and Africa",61483000
2020/06/30,Latin America,36068000
2020/06/30,Asia-Pacific,22492000
2020/09/30,United States and Canada,73081000
2020/09/30,"Europe, Middle East and Africa",62242000
2020/09/30,Latin America,36324000
2020/09/30,Asia-Pacific,23504000
2020/12/31,United States and Canada,73936000
2020/12/31,"Europe, Middle East and Africa",66698000
2020/12/31,Latin America,37537000
2020/12/31,Asia-Pacific,25492000
2021/03/31,United States and Canada,74384000
2021/03/31,"Europe, Middle East and Africa",68508000
2021/03/31,Latin America,37894000
2021/03/31,Asia-Pacific,26853000
2021/06/30,United States and Canada,73951000
2021/06/30,"Europe, Middle East and Africa",68696000
2021/06/30,Latin America,38658000
2021/06/30,Asia-Pacific,27875000
2021/09/30,United States and Canada,74024000
2021/09/30,"Europe, Middle East and Africa",70500000
2021/09/30,Latin America,38988000
2021/09/30,Asia-Pacific,30051000
2021/12/31,United States and Canada,75215000
2021/12/31,"Europe, Middle East and Africa",74036000
2021/12/31,Latin America,39961000
2021/12/31,Asia-Pacific,32632000
2022/03/31,United States and Canada,74579000
2022/03/31,"Europe, Middle East and Africa",73733000
2022/03/31,Latin America,39610000
2022/03/31,Asia-Pacific,33719000
2022/06/30,United States and Canada,73283000
2022/06/30,"Europe, Middle East and Africa",72966000
2022/06/30,Latin America,39624000
2022/06/30,Asia-Pacific,34799000
2022/09/30,United States and Canada,73387000
2022/09/30,"Europe, Middle East and Africa",73534000
2022/09/30,Latin America,39936000
2022/09/30,Asia-Pacific,36228000
2022/12/31,United States and Canada,74296000
2022/12/31,"Europe, Middle East and Africa",76729000
2022/12/31,Latin America,41699000
2022/12/31,Asia-Pacific,38023000
2023/03/31,United States and Canada,74398000
2023/03/31,"Europe, Middle East and Africa",77373000
2023/03/31,Latin America,41249000
2023/03/31,Asia-Pacific,39478000
